"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2254.43716730651
"2","member","Sunday",939.787567797511
"3","casual","Monday",1912.42601484068
"4","member","Monday",794.865789549557
"5","casual","Tuesday",1678.34075585845
"6","member","Tuesday",767.296126828639
"7","casual","Wednesday",1659.56687578419
"8","member","Wednesday",769.193753222095
"9","casual","Thursday",1662.21565803457
"10","member","Thursday",766.557362526383
"11","casual","Friday",1820.9022816602
"12","member","Friday",799.482467419012
"13","casual","Saturday",2082.31781777387
"14","member","Saturday",915.903751342239
